word1,count
theater,202
hunger,207
nervous,216
math,236
hw,56
socialmediatip,2
intelligent,67
woolier,1
tilapia,7
tostadas,2
avocado,50
salsa,101
sad,958
allergic,36
pizza,458
minutes,1628
spare,115
starting,1031
fake,306
feeds,34
scholarly,19
perspectives,33
detached,17
ethnography,5
joined,215
adult,243
rigght,1
mite,17
figure,526
mall,204
sy,3
mutual,57
chains,52
sale,547
keep,3326
checking,291
directly,213
grades,67
elite,91
chance,1035
blue,819
romance,147
sleeping,340
romantic,100
adventure,192
once,1959
hero,194
american,1008
craft,322
bars,191
across,794
celebrating,215
tapping,31
parties,257
mentortech,1
ventures,21
interactive,78
extras,31
etextbooks,1
contribute,59
distract,24
start,2647
drinking,463
coffee,1041
nope,226
swagga,3
gee,38
becky,27
ending,255
xd,336
supporters,103
parade,124
cheering,87
along,1181
marchers,2
frequents,1
stores,247
bound,162
bump,72
quiz,41
tkam,2
chapters,61
actress,76
worked,676
q,344
consultant,44
concept,236
takes,773
son,746
he'll,194
prospect,62
camp,286
javonn,1
curry,76
highlights,82
branch,111
falls,191
asleep,335
contacts,67
wakes,43
goes,1151
feels,692
peeling,15
layer,168
actual,300
eye,633
honest,288
christmas,1174
gift,749
>,678
t,979
orange,378
colors,354
webegreater,7
tango,43
weird,582
interview,515
ugh,609
jeanette,3
photos,660
retweeting,48
lacing,4
muthafucking,1
nation,243
started,1770
iftheyshutdowntwitter,1
learned,597
presentation,239
doula,6
powerful,230
using,1520
compared,167
pros,45
solo,148
>>>>,47
eating,769
apartment,245
scared,341
elegant,65
dashboard,27
touch,568
gesture,28
specific,250
analytics,36
networks,84
followu,1
tune,314
lowerlevelradio,3
resident,75
dj,224
lazer,5
in's,30
groove,48
theory,153
mixing,100
beginning,473
tweeted,228
garcia,29
phelps,13
came,1886
relief,150
doesnt,142
beast,182
loved,1170
btw,300
hu,13
talkin,110
sunday,1221
planted,65
marlin,2
fool,179
models,135
renewable,13
porfolio,1
standards,127
rps,2
states,520
effective,200
batman,74
kindle,138
fire,732
comoxiolgy,1
shaun,17
definition,120
insane,158
workout,326
kicked,146
screaming,158
paige,19
hemmis,1
extreme,141
makeover,32
edition,129
blonde,113
dad's,63
graduation,194
jailed,14
contractor,31
alan,85
gross,136
used,2472
phonecall,2
cuba,28
mitchell,46
plead,12
firing,43
creative,441
powers,106
uo,9
aaron,119
rodgers,48
mvp,57
late,1213
mavs,47
gotta,1074
littlest,11
eilena,1
helen,64
final,762
stages,37
bizness,3
manual,47
agent,205
ilovemylife,1
beats,207
brotha,32
tigers,79
momentum,56
comeback,66
victory,179
palesoxs,1
mobile,390
adoptions,2
unit,134
petco,13
airport,261
ant,39
liking,122
palease,1
babygirl,9
fb,440
bestie,38
telepathy,5
awe,131
bum,47
practice,546
avi,65
either,1144
follows,252
denver,245
park,922
woo,201
manhunt,2
monday,1136
resources,243
future,992
pants,311
slogan,21
ridin,11
south,763
condo,27
katrina,21
desserts,47
sweeter,31
hardestthingtodo,1
laugh,481
viagra,12
summit,108
participated,48
attended,148
collaboration,72
national,767
society,388
induction,17
eggs,313
bacon,215
scott,241
hugo,32
freezing,90
moment,1127
prayers,197
nails,128
often,1070
enjoyable,85
arts,282
center,862
interstates,1
lydia,22
burrell,4
preparing,154
drop,477
sun,767
sexy,404
&&,77
ld,8
middle,710
knew,1055
flash,160
towel,57
everyday,442
confusion,72
takeaway,11
chronicle,29
higher,371
ed,236
fuck,1300
wana,37
customer,288
considering,252
science,354
literally,366
funniest,66
hysterical,35
los,222
college,855
above,643
certain,417
ba,38
poetry,150
gap,67
seeds,163
paradigm,17
gardens,125
riser,2
nightowl,2
wallet,66
mtg,57
policy,233
update,403
incl,21
research,512
&ed,1
issues,578
adhoctax,1
retreat,66
concerns,124
fy,12
rest,1134
gayest,3
kid,701
xx,147
scores,97
recorded,154
eacz,1
jacinto,3
navarro,5
shift,165
winner's,14
bracket,59
portion,94
sounds,1240
nightmare,92
patty's,21
grey,210
drizzly,4
splashes,5
stm,4
shuttle,54
corridor,22
bueno,15
pleases,10
starve,20
bully,53
feed,337
soul,404
grand,341
grammys,26
fangirling,9
max,161
uk,406
sec,118
theraflu,5
kobe's,8
flu,67
drunk,319
scotch,43
smoke,245
cigars,13
bones,109
important,956
elections,91
relax,172
